Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type
ASUS,$70.13 ,,,,,,,,,,,,,,,,,,,,,
Lenovo,$399.99 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Used, Very Good Item Condition.”",Intel Core i7-10610U,"14""",,Black,,,,1.80GHz,Laptop,,1920 x 1080 ( Full HD ),X13,Windows 10,,,,SSD (Solid State Drive)
ASUS,$219.00 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",““Completely Tested & Refurbished By Our Staff | May Show General Wear & Tear | Has Google Play ...  Read moreabout the seller notes““Completely Tested & Refurbished By Our Staff | May Show General Wear & Tear | Has Google Play Store | Will Include Charger”” Read Lessabout the seller notes ,Rockchip RK3288-C,10.1 in,Silver,Silver,4 GB,16 GB,,1.80 GHz,Notebook/Laptop,,1280 x 800,ASUS Chromebook,Chrome OS,"Micro-SD Card Reader,  Headphone  Mic Combo Jack,  Bluetooth,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",Not Applicable,,SSD (Solid State Drive)
Lenovo,$149.00 ,4.5 out of 5 stars,15,,,AMD A6-9220E,14 in,Platinum Gray,Gray,4 GB,64 GB,AMD Radeon R4,1.60 GHz,Notebook/Laptop,,1366 x 768,81VS009GUS,Windows 10,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card",64 GB,,eMMC
Lenovo,$129.00 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i3 7th Gen.,15.6 in,,Black,4 GB,180GB,Intel HD Graphics 520,2.40 GHz,Notebook/Laptop,,1366 x 768,E570,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Widescreen Display, Wi-Fi",,,SSD (Solid State Drive)
,$368.20 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,Intel GMA 950,,Ordinateur portable/Pc portable,,,,,,,,
,$275.14 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,Intel HD Graphics 4000,,,,,,,,,,
Dell,$320.80 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 4th generation,"14""",,,,120GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,,HD,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,,
Dell,$406.25 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 4th generation,"10,8""",,,,480GB,Intel HD Graphics 4200,1.50-1.99GHz,Notebook/Laptop,,Full HD,11 Pro 7130,Windows 11 pros,"SIM slots, Touchscreen, Touch ID, Bluetooth, Webcam integrated, Wi-Fi, Player SD",NO,,SSD
Dell,$462.68 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 4th generation,"14""",,,,960GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,,HD,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader, Bluetooth",NO,,
Lenovo,$446.14 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 6th generation,"14""",,,,960GB,Intel HD Graphics 620,2.80 GHz,Notebook/Laptop,,Full HD,T470s,Windows 11 Pro,"Touch ID,  10/100 LAN Card,  Wi-Fi,  Backlit Keyboard,  Bluetooth",NO,,
,$13.02 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$114.51 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Samsung,$66.41 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
,$82.42 ,,,,,,,,,,,,,,,,,,,,,
,$154.44 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$301.41 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,Intel GMA 950,,Ordinateur portable/Pc portable,,,,,,,,
,$58.55 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$89.61 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
LG,$112.30 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
,$64.61 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$326.28 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,Nvidia GeForce GT720M,,Ordinateur portable/Pc portable,,,,,,,,
Lenovo,$726.66 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core I5 ​​12th Generation,"15, 6""",,,,256GB,Intel UHD Graphics,3.00-4.00GHz,Notebook/Laptop,,Full HD,V15 G3,Windows 11 pros,"Webcam integrated,  Wi-Fi,  Bluetooth",NO,,SSD
,$52.84 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$336.74 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Samsung,$134.50 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
Olympus,$61.04 ,,,,,,,,,,,,,,,,,,,,,
,$278.66 ,,,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,,,,Negro,,,Gráficos Intel HD 4000,,,,,,,,,,
Simpletek,"$2,722.76 ",,,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,inter Core i7 8550U,"14""",,,,4TB,Intel UHD Graphics 620,1.80 GHz,Notebook/Laptop,,Full HD,W14X,Windows 10 Pros,"Touch ID, 10/100 LAN Card, Shockproof, Bluetooth, Webcam integrated, Wi-Fi",NO,,SSD
,$6.51 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$85.18 ,,,,,,,,,,,,,,,,,,,,,
,$65.08 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$117.04 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$117.39 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$92.07 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Uniwill,$21.60 ,,,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Pentium,"14""",,,,,,,,,,,,,,,
,$485.49 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Toshiba,$316.46 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core i5 11th Gen.,13.3 in,,,8 GB,256 GB,,,Notebook/Laptop,,,Toshiba Tecra,Windows 10 Pro,,256 GB,,SSD (Solid State Drive)
,$130.31 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Acer,$32.40 ,,,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Core 2 Duo,"17,3""",,,,,,,,,,,,,,,
Casio,$58.50 ,,,,,,,,,,,,,,,,,,,,,
,$85.71 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Samsung,$116.97 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
,$130.31 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$128.49 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$419.21 ,,,"Excellent - Refurbished: The item is in like-new condition, backed by a one year warranty. It has ...  Read moreabout the conditionExcellent - Refurbished: The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,Intel HD Graphics 520,,,,,,,,,,
Fujitsu Siemens,$359.74 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 6th generation,"14""",,,,256GB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,,HD,E736,Windows 11 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,,SSD
AUO,$92.57 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
Apple,"$1,057.82 ",,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
HannStar,$130.32 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
LG,$90.65 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,Does not apply,Does not apply,,,,,,,,,,,,,,,
HP,$37.80 ,,,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,Intel Centrino,"15, 4""",,,,,,,,,,,,,,,
,$27.94 ,,,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$130.31 ,,,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$13.02 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
,$411.51 ,,,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,,,,Negro,,,Nvidia GeForce GT720M,,,,,,,,,,
,$336.74 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,,,,,,,,,,,
Dell,$320.69 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Core i5 5th generation,"14""",,,,240GB,Intel HD Graphics 5500,2.70 GHz,Notebook/Laptop,,HD,E7450,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,,
,$294.67 ,,,"Good - Refurbished: The item shows moderate wear and is backed by a one year warranty. It is fully ...  Read moreabout the conditionGood - Refurbished: The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,intel GMA 950,,,,,,,,,,
HP,$299.90 ,,,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab",“This laptop has been tested and is in good working order. The unit may show minor cosmetic ...  Read moreabout the seller notes“This laptop has been tested and is in good working order. The unit may show minor cosmetic scratches and scuffs from normal use. These minor scratches do not affect the functionality of the laptop. Power cables and additional accessories are NOT included. This listing is for the laptop ONLY” Read Lessabout the seller notes ,I5-10210U,13.2,,,16 GB,256 GB,Intel UHD Graphics,2.10 GHz,,,1920 x 1080,HP ELITEBOOK 830 G7 NOTEBOOK PC,Not Included,,,,SSD (Solid State Drive)
HP,$119.99 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,Intel Celeron N,14 in,,Silver,4 GB,4 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2020,1366 x 768,ChromeBook,Chrome OS,"Bluetooth, Built-in Webcam, Force Touch Trackpad",,,eMMC
HP,$145.00 ,,,,,Intel Celeron N,14 in,,,8 GB,64 GB,Intel UHD Graphics 600,1.10 GHz,Notebook/Laptop,2020,1920 x 1080,HP Chromebook 14 G6,Chrome OS,Backlit Keyboard,,,eMMC
Dell,$425.00 ,5 out of 5 stars,5,,,Intel Core i7 12th Gen.,16 in,,Green,40 GB,1 TB,Intel Iris Xe Graphics,4.70 GHz,Notebook/Laptop,,3072 x 1920,Dell Inspiron 16 7620,Windows 11 Home,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",1 TB,,SSD (Solid State Drive)
HP,$289.99 ,,,"Very Good - RefurbishedThe item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished,  inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab","“Refurbished; tested and certified by qualified techs to be in very good condition. Laptop may have ...  Read moreabout the seller notes“Refurbished; tested and certified by qualified techs to be in very good condition. Laptop may have OEM or after Market Power adapter and Battery, which is guaranteed to have 80% to Excellent charging health.  Order is shipped in generic brown box packaging ready for use out of the box. Laptop may have normal l wear & tear that can be expected in this category.  Light scratches, keyboard and touchpad normal signs of usage. Laptop is professionally, securely packed and ships with one day handling time.” Read Lessabout the seller notes ",Intel Core i7 4th Gen.,15.6 in,Grey,Gray,8 GB,,Intel HD Graphics 4600,3.20 GHz,Notebook/Laptop,Refurbished 2023,1366 x 768,HP ProBook,Windows 10,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",500 GB,China,HDD (Hard Disk Drive)
,$341.80 ,,,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",,,,,,,,GRAPHIQUE INTEL HD 620,,Ordinateur portable/Pc portable,,,,,,,,
HP,$572.75 ,5 out of 5 stars,1,,,Intel Core i7 10th Gen.,15.6 in,Silver,Silver,12 GB,256 GB,Intel Iris Plus Graphics,1.30 GHz,Notebook/Laptop,2020,1920 x 1080,15-DY1079MS,Windows 10,"Touchscreen, Bluetooth, Built-in Webcam, Built-in Microphone",,,SSD (Solid State Drive)
Asus,$29.99 ,,,"For parts or not working: An item that does not function as intended and is not fully operational. ...  Read moreabout the conditionFor parts or not working: An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details. See all condition definitionsopens in a new window or tab ",,,,,,,,,,Notebook/Laptop,,,K501,Not Included,,,,
